DDO_53   Model 1.450000  33.137901  0.848276  0.898280 0.125234
DDO_53   Model 1.450000  33.137901  0.924138  0.951113 0.105921
DDO_53   Model 1.450000  33.137901  1.000000  1.000000 0.118294
DDO_70   Data  0.559981  23.289692  0.142862  0.281240 0.079434
DDO_70   Data  0.559981  23.289692  0.303582  0.453420 0.059683
DDO_70   Data  0.559981  23.289692  0.446443  0.588672 0.075141
DDO_70   Data  0.559981  23.289692  0.589305  0.726931 0.097039
DDO_70   Data  0.559981  23.289692  0.750025  0.798207 0.127524
DDO_70   Data  0.559981  23.289692  0.892887  0.957505 0.153716
DDO_70   Data  0.559981  23.289692  1.035749  1.014183 0.155863
DDO_70   Data  0.559981  23.289692  1.196469  1.135266 0.134824
DDO_70   Data  0.559981  23.289692  1.339330  1.113368 0.118078
DDO_70   Data  0.559981  23.289692  1.482192  1.082883 0.105626
DDO_70   Data  0.559981  23.289692  1.642912  1.073866 0.105626
DDO_70   Data  0.559981  23.289692  1.785774  1.069142 0.115931
DDO_70   Data  0.559981  23.289692  1.928636  1.040804 0.129242
DDO_70   Data  0.559981  23.289692  2.071498  1.048962 0.128383
DDO_70   Data  0.559981  23.289692  2.232218  1.051109 0.125807
DDO_70   Data  0.559981  23.289692  2.375079  1.097481 0.134394
DDO_70   Data  0.559981  23.289692  2.517941  1.179492 0.140835
DDO_70   Data  0.559981  23.289692  2.678661  1.304869 0.137829
DDO_70   Data  0.559981  23.289692  2.821523  1.446992 0.127954
DDO_70   Data  0.559981  23.289692  2.964385  1.586539 0.112925
DDO_70   Data  0.559981  23.289692  3.125104  1.721362 0.111208
DDO_70   Data  0.559981  23.289692  3.267967  1.784051 0.118078
DDO_70   Data  0.559981  23.289692  3.410828  1.816254 0.135253
DDO_70   Data  0.559981  23.289692  3.571548  1.886672 0.140835
DDO_70   Model 1.277002  31.854853  0.062647  0.129966 0.058076
DDO_70   Model 1.277002  31.854853  0.133124  0.268568 0.043635
DDO_70   Model 1.277002  31.854853  0.195771  0.380171 0.054937
DDO_70   Model 1.277002  31.854853  0.258418  0.478794 0.070947
DDO_70   Model 1.277002  31.854853  0.328895  0.574220 0.093235
DDO_70   Model 1.277002  31.854853  0.391542  0.646464 0.112385
DDO_70   Model 1.277002  31.854853  0.454189  0.708463 0.113954
DDO_70   Model 1.277002  31.854853  0.524666  0.767902 0.098572
DDO_70   Model 1.277002  31.854853  0.587313  0.813123 0.086329
DDO_70   Model 1.277002  31.854853  0.649960  0.852416 0.077225
DDO_70   Model 1.277002  31.854853  0.720438  0.890753 0.077225
DDO_70   Model 1.277002  31.854853  0.783084  0.920491 0.084759
DDO_70   Model 1.277002  31.854853  0.845731  0.946820 0.094491
DDO_70   Model 1.277002  31.854853  0.908378  0.970260 0.093863
DDO_70   Model 1.277002  31.854853  0.978855  0.993710 0.091980
DDO_70   Model 1.277002  31.854853  1.041502  1.012345 0.098258
DDO_70   Model 1.277002  31.854853  1.104149  1.029196 0.102967
DDO_70   Model 1.277002  31.854853  1.174626  1.046312 0.100770
DDO_70   Model 1.277002  31.854853  1.237273  1.060109 0.093549
DDO_70   Model 1.277002  31.854853  1.299920  1.072744 0.082562
DDO_70   Model 1.277002  31.854853  1.370397  1.085737 0.081306
DDO_70   Model 1.277002  31.854853  1.433044  1.096329 0.086329
DDO_70   Model 1.277002  31.854853  1.495691  1.106127 0.098886
DDO_70   Model 1.277002  31.854853  1.566169  1.116301 0.102967
IC_10    Data  0.274228  73.275475  0.218796  0.026612 0.173455
IC_10    Data  0.274228  73.275475  0.291729 -0.033163 0.146024
IC_10    Data  0.274228  73.275475  0.364661  0.069464 0.134424
IC_10    Data  0.274228  73.275475  0.437593  0.061276 0.132787
IC_10    Data  0.274228  73.275475  0.510525  0.183008 0.107130
IC_10    Data  0.274228  73.275475  0.583457  0.171272 0.106857
IC_10    Data  0.274228  73.275475  0.656389  0.207709 0.125554
IC_10    Data  0.274228  73.275475  0.729321  0.210712 0.125963
IC_10    Data  0.274228  73.275475  0.802253  0.207436 0.119412
IC_10    Data  0.274228  73.275475  0.875186  0.260933 0.125144
IC_10    Data  0.274228  73.275475  0.948118  0.285089 0.123370
IC_10    Data  0.274228  73.275475  1.021050  0.324529 0.108222
IC_10    Data  0.274228  73.275475  1.093982  0.348002 0.087615
IC_10    Data  0.274228  73.275475  1.166914  0.365470 0.080791
IC_10    Data  0.274228  73.275475  1.239846  0.367517 0.088433
IC_10    Data  0.274228  73.275475  1.312778  0.362331 0.083657
IC_10    Data  0.274228  73.275475  1.385710  0.330943 0.093756
IC_10    Data  0.274228  73.275475  1.458643  0.358783 0.103855
IC_10    Data  0.274228  73.275475  1.531575  0.383348 0.111088
IC_10    Data  0.274228  73.275475  1.604507  0.406684 0.113408
IC_10    Data  0.274228  73.275475  1.677439  0.432751 0.111361
IC_10    Data  0.274228  73.275475  1.750371  0.452812 0.102763
IC_10    Data  0.274228  73.275475  1.823303  0.458817 0.100443
IC_10    Data  0.274228  73.275475  1.896235  0.476558 0.087478
IC_10    Data  0.274228  73.275475  1.969168  0.482426 0.093210
IC_10    Model 0.538390  36.073753  0.111443  0.139073 0.352334
IC_10    Model 0.538390  36.073753  0.148591  0.184885 0.296615
IC_10    Model 0.538390  36.073753  0.185739  0.230242 0.273052
IC_10    Model 0.538390  36.073753  0.222887  0.275041 0.269725
IC_10    Model 0.538390  36.073753  0.260034  0.319191 0.217610
IC_10    Model 0.538390  36.073753  0.297182  0.362607 0.217055
IC_10    Model 0.538390  36.073753  0.334330  0.405214 0.255033
IC_10    Model 0.538390  36.073753  0.371478  0.446948 0.255865
IC_10    Model 0.538390  36.073753  0.408626  0.487756 0.242559
IC_10    Model 0.538390  36.073753  0.445773  0.527594 0.254201
IC_10    Model 0.538390  36.073753  0.482921  0.566426 0.250598
IC_10    Model 0.538390  36.073753  0.520069  0.604226 0.219827
IC_10    Model 0.538390  36.073753  0.557217  0.640976 0.177969
IC_10    Model 0.538390  36.073753  0.594364  0.676666 0.164108
IC_10    Model 0.538390  36.073753  0.631512  0.711298 0.179632
IC_10    Model 0.538390  36.073753  0.668660  0.744868 0.169930
IC_10    Model 0.538390  36.073753  0.705808  0.777391 0.190443
IC_10    Model 0.538390  36.073753  0.742956  0.808873 0.210957
IC_10    Model 0.538390  36.073753  0.780103  0.839339 0.225649
IC_10    Model 0.538390  36.073753  0.817251  0.868803 0.230361
IC_10    Model 0.538390  36.073753  0.854399  0.897292 0.226203
IC_10    Model 0.538390  36.073753  0.891547  0.924830 0.208739
IC_10    Model 0.538390  36.073753  0.928695  0.951442 0.204026
IC_10    Model 0.538390  36.073753  0.965842  0.977154 0.177692
IC_10    Model 0.538390  36.073753  1.002990  1.002000 0.189334
IC_1613  Data  2.000000  20.510000  0.070000  0.146270 0.040956
IC_1613  Data  2.000000  20.510000  0.085000  0.195514 0.129693
IC_1613  Data  2.000000  20.510000  0.095000  0.305705 0.081424
IC_1613  Data  2.000000  20.510000  0.105000  0.260361 0.067284
IC_1613  Data  2.000000  20.510000  0.120000  0.214042 0.093613
IC_1613  Data  2.000000  20.510000  0.130000  0.218430 0.091175
IC_1613  Data  2.000000  20.510000  0.145000  0.196002 0.101902
IC_1613  Data  2.000000  20.510000  0.155000  0.180887 0.087762
IC_1613  Data  2.000000  20.510000  0.165000  0.192101 0.095076
IC_1613  Data  2.000000  20.510000  0.180000  0.196490 0.114578
IC_1613  Data  2.000000  20.510000  0.190000  0.179912 0.137006
IC_1613  Data  2.000000  20.510000  0.200000  0.200390 0.132618
IC_1613  Data  2.000000  20.510000  0.215000  0.250609 0.132131
IC_1613  Data  2.000000  20.510000  0.225000  0.254510 0.121892
IC_1613  Data  2.000000  20.510000  0.240000  0.196977 0.123842
IC_1613  Data  2.000000  20.510000  0.250000  0.218918 0.114091
